"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15+","Duration (Aggregate): Total","2022",3392.401,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15+","Duration (Aggregate): Less than 6 months","2022",1918.244,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15+","Duration (Aggregate): 6 months to less than 12 months","2022",606.616,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15+","Duration (Aggregate): 12 months or more","2022",656.749,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15+","Duration (Aggregate): Not elsewhere classified","2022",210.792,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15-64","Duration (Aggregate): Total","2022",3371.012,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15-64","Duration (Aggregate): Less than 6 months","2022",1901.552,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15-64","Duration (Aggregate): 6 months to less than 12 months","2022",605.718,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15-64","Duration (Aggregate): 12 months or more","2022",654.032,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Unemployment by sex, age and duration (thousands)","Sex: Total","Age (Youth, adults): 15-64","Duration (Aggregate): Not elsewhere classified","2022",209.711,,,,"Repository: ILO-STATISTICS - Micro data processing"
