"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 15-24","Marital status (Detailed): Single","2024Q2",7761.359,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 15-24","Marital status (Detailed): Married","2024Q2",324.188,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 15-24","Marital status (Detailed): Divorced or legally separated","2024Q2",,"Unreliable",,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 25-54","Marital status (Detailed): Single","2024Q2",3558.006,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 25-54","Marital status (Detailed): Married","2024Q2",2977.685,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 25-54","Marital status (Detailed): Widowed","2024Q2",122.562,"Unreliable",,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 25-54","Marital status (Detailed): Divorced or legally separated","2024Q2",30.482,"Unreliable",,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 55-64","Marital status (Detailed): Single","2024Q2",,"Unreliable",,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 55-64","Marital status (Detailed): Married","2024Q2",509.998,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and marital status (thousands)","Sex: Male","Age (Aggregate bands): 55-64","Marital status (Detailed): Widowed","2024Q2",,"Unreliable",,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
