ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 15-24,Area type: Rural,2024Q2,5738.375,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 15-24,Area type: Urban,2024Q2,2347.173,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 25-54,Area type: Rural,2024Q2,4069.712,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 25-54,Area type: Urban,2024Q2,2619.023,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 55-64,Area type: Rural,2024Q2,252.567,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 55-64,Area type: Urban,2024Q2,284.286,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 65+,Area type: Rural,2024Q2,,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 65+,Area type: Urban,2024Q2,,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 15-24,Area type: Rural,2024Q2,1766.876,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 15-24,Area type: Urban,2024Q2,1353.155,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 25-54,Area type: Rural,2024Q2,2525.465,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 25-54,Area type: Urban,2024Q2,1455.762,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 55-64,Area type: Rural,2024Q2,191.076,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 55-64,Area type: Urban,2024Q2,,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 65+,Area type: Rural,2024Q2,46.083,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 65+,Area type: Urban,2024Q2,,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 15-24,Area type: Rural,2024Q1,4892.639,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 15-24,Area type: Urban,2024Q1,2425.247,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 25-54,Area type: Rural,2024Q1,3468.229,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 25-54,Area type: Urban,2024Q1,2976.112,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 55-64,Area type: Rural,2024Q1,229.602,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 55-64,Area type: Urban,2024Q1,219.807,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 65+,Area type: Rural,2024Q1,,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Male,Age (Aggregate bands): 65+,Area type: Urban,2024Q1,,Unreliable,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 15-24,Area type: Rural,2024Q1,1787.869,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
India,LFS - Periodic Labour Force Survey,"Unemployment by sex, age and rural / urban areas (thousands)",Sex: Female,Age (Aggregate bands): 15-24,Area type: Urban,2024Q1,1071.728,,,Frequency: Quarterly,Repository: ILO-STATISTICS - Micro data processing
