"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15+","Area type: National","2024Q2",22713.006,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15+","Area type: Rural","2024Q2",14619.113,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15+","Area type: Urban","2024Q2",8093.893,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15-64","Area type: National","2024Q2",22630.785,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15-64","Area type: Rural","2024Q2",14544.071,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15-64","Area type: Urban","2024Q2",8086.713,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15-24","Area type: National","2024Q2",11205.579,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15-24","Area type: Rural","2024Q2",7505.251,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 15-24","Area type: Urban","2024Q2",3700.328,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 25+","Area type: National","2024Q2",11507.427,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 25+","Area type: Rural","2024Q2",7113.862,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Youth, adults): 25+","Area type: Urban","2024Q2",4393.564,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15+","Area type: National","2024Q2",15340.095,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15+","Area type: Rural","2024Q2",10089.613,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15+","Area type: Urban","2024Q2",5250.482,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15-64","Area type: National","2024Q2",15311.136,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15-64","Area type: Rural","2024Q2",10060.654,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15-64","Area type: Urban","2024Q2",5250.482,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15-24","Area type: National","2024Q2",8085.548,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15-24","Area type: Rural","2024Q2",5738.375,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 15-24","Area type: Urban","2024Q2",2347.173,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 25+","Area type: National","2024Q2",7254.548,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 25+","Area type: Rural","2024Q2",4351.239,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Male","Age (Youth, adults): 25+","Area type: Urban","2024Q2",2903.309,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15+","Area type: National","2024Q2",7372.91,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15+","Area type: Rural","2024Q2",4529.5,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15+","Area type: Urban","2024Q2",2843.41,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15-64","Area type: National","2024Q2",7319.648,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15-64","Area type: Rural","2024Q2",4483.417,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15-64","Area type: Urban","2024Q2",2836.231,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15-24","Area type: National","2024Q2",3120.031,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15-24","Area type: Rural","2024Q2",1766.876,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 15-24","Area type: Urban","2024Q2",1353.155,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 25+","Area type: National","2024Q2",4252.879,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 25+","Area type: Rural","2024Q2",2762.624,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Female","Age (Youth, adults): 25+","Area type: Urban","2024Q2",1490.255,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Aggregate bands): Total","Area type: National","2024Q2",22713.006,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
"India","LFS - Periodic Labour Force Survey","Unemployment by sex, age and rural / urban areas (thousands)","Sex: Total","Age (Aggregate bands): Total","Area type: Rural","2024Q2",14619.113,,,"Frequency: Quarterly","Repository: ILO-STATISTICS - Micro data processing"
